,device_id,device_type,security_level,location
0,1,SERVER-01,medium,London
1,2,SERVER-02,low,Madrid
2,3,SERVER-03,critical,Rome
3,4,SERVER-04,critical,Rome
4,5,SERVER-05,medium,Amsterdam
5,6,SERVER-06,low,Amsterdam
6,7,SERVER-07,critical,Berlin
7,8,SERVER-08,high,Madrid
8,9,SERVER-09,medium,Rome
9,10,SERVER-10,high,Berlin
10,11,SERVER-11,medium,Paris
11,12,SERVER-12,medium,Paris
12,13,SERVER-13,medium,Berlin
13,14,SERVER-14,low,Madrid
14,15,SERVER-15,high,Berlin
15,16,SERVER-16,high,Amsterdam
16,17,SERVER-17,critical,Berlin
17,18,SERVER-18,high,Madrid
18,19,SERVER-19,critical,Paris
19,20,SERVER-20,critical,Rome
20,21,LAPTOP-21,low,Paris
21,22,LAPTOP-22,critical,Amsterdam
22,23,LAPTOP-23,medium,Madrid
23,24,LAPTOP-24,medium,London
24,25,LAPTOP-25,low,Madrid
25,26,LAPTOP-26,medium,Paris
26,27,LAPTOP-27,medium,Paris
27,28,LAPTOP-28,high,Madrid
28,29,LAPTOP-29,low,Madrid
29,30,LAPTOP-30,medium,Madrid
30,31,LAPTOP-31,low,Paris
31,32,LAPTOP-32,low,Amsterdam
32,33,LAPTOP-33,medium,Berlin
33,34,LAPTOP-34,medium,London
34,35,LAPTOP-35,critical,Berlin
35,36,LAPTOP-36,low,Amsterdam
36,37,LAPTOP-37,low,Paris
37,38,LAPTOP-38,medium,Berlin
38,39,LAPTOP-39,critical,Madrid
39,40,LAPTOP-40,high,Rome
